date,pre
20201207,180125
20201208,190066.7
20201210,202400.1
20201211,213619
20201212,221500.9
20201213,225235.2
20201214,225192.2
20201215,222491.9
20201216,218529
20201217,214575.5
20201218,211527.2
20201219,209810.8
20201220,209425
20201221,210066.4
